,0
chroma_cens_8_mean,0.1901489943265915
chroma_cens_8_std,0.14985689520835876
chroma_cens_9_mean,0.3116430640220642
chroma_cens_9_std,0.2688162326812744
chroma_cens_10_mean,0.0631682425737381
chroma_cens_10_std,0.12870058417320251
chroma_cens_11_mean,0.17437821626663208
chroma_cens_11_std,0.18209943175315857
tonnetz_0_mean,0.279842129758911
tonnetz_0_std,0.17167526199143512
tonnetz_1_mean,0.05040156358058869
tonnetz_1_std,0.1804382598007635
tonnetz_2_mean,0.08404031591026273
tonnetz_2_std,0.21519627342297437
tonnetz_3_mean,0.18753299389169145
tonnetz_3_std,0.2018995273823349
tonnetz_4_mean,0.06970202853484835
tonnetz_4_std,0.08393586150846273
tonnetz_5_mean,-0.018965595975403288
tonnetz_5_std,0.097588628193551
tempo_bpm,147.65625
